Time (s),Fig3A(Mi9-On),Fig3A(Tm3-On),Fig3A(Mi1-On),Fig3A(Mi4-On),Fig3A(C3-On),Fig3A(Mi9-Off),Fig3A(Tm3-Off),Fig3A(Mi1-Off),Fig3A(Mi4-Off),Fig3A(C3-Off),Fig2A(Tm3-On-1),Fig2A(Mi1-On-1),Fig2A(Tm3-On-2),Fig2A(Mi1-On-2),Fig2A(Tm3-On-3),Fig2A(Mi1-On-3),Fig2B(Tm1-Off-1),Fig2B(Tm2-Off-1),Fig2B(Tm1-Off-2),Fig2B(Tm2-Off-2),Fig2B(Tm1-Off-3),Fig2B(Tm2-Off-3),Fig4b(Mi1-on),Fig4b(Tm1-on),Fig3c(Tm9-Off)Direct,Fig3c(Tm9-Off)Invert,Fig3b(Mi1-on),Fig4b(Tm1-off),Fig4b(Tm2-off),Fig4b(Tm3-off) ,FigS6(T2-flash),FigS5(T3-flash),Fig4a(T2-both),Fig4a(T3-both)
0.12,0.9550409,0.8253322,0.3201632,0.7868137,0.5375346,0.063536376,1.6386536,0.8389764,2.547742,0.21739702,0.8253323,0.32016313,0.8253322,0.32016322,0.8253322,0.3201632,0.35717446,0.15322728,0.35717446,0.15322728,0.35717446,0.15322733,1.1619645,0.22453293,0.3868885,0.38688847,-0.11605005,0.21897726,-0.20732005,0.6489265,1.0092019,-0.19499648,1.009202,-0.19499649
0.13,0.95523113,0.8252803,0.3201466,0.786669,0.5374286,0.06382098,1.6388419,0.8390911,2.547847,0.21730013,0.82528037,0.3201465,0.8252803,0.3201466,0.8252803,0.32014662,0.35719204,0.15319142,0.35719204,0.15319145,0.35719204,0.15319145,1.064454,0.2252489,0.38694698,0.38694698,-0.11543261,0.24112546,-0.0014786124,0.5270697,1.0090083,-0.19504452,1.0090084,-0.19504453
0.14,0.9553972,0.8252352,0.3201325,0.78656,0.5373288,0.06409132,1.6390167,0.8391996,2.547935,0.21721089,0.82523525,0.32013246,0.82523525,0.3201325,0.8252352,0.3201325,0.3572075,0.15315463,0.3572075,0.15315464,0.3572075,0.15315464,1.0083777,0.2295916,0.3869934,0.3869934,-0.091257535,0.28216714,0.18372951,0.47430712,1.0087727,-0.19510241,1.0087729,-0.19510245
0.15,0.95554245,0.8251956,0.3201199,0.786479,0.53723454,0.06434693,1.6391793,0.8393022,2.5480099,0.21712881,0.8251956,0.32011986,0.8251956,0.32011995,0.8251956,0.32011992,0.3572201,0.15311562,0.3572201,0.15311565,0.3572201,0.15311565,0.9850152,0.23561744,0.38703018,0.38703018,-0.04901741,0.33003402,0.35374826,0.45602122,1.008512,-0.19516608,1.008512,-0.19516613
0.16,0.9556716,0.8251604,0.32010823,0.7864187,0.53714526,0.064587295,1.6393312,0.8393998,2.5480752,0.2170534,0.8251604,0.3201082,0.8251604,0.3201083,0.8251604,0.3201082,0.35722983,0.15307543,0.35722983,0.15307547,0.35722983,0.1530755,0.98059136,0.24168709,0.38706005,0.38706005,0.0030039623,0.37143546,0.46879604,0.44945547,1.0082376,-0.19523175,1.0082376,-0.19523185
0.17,0.95578897,0.8251287,0.32009703,0.7863721,0.5370605,0.06481157,1.6394736,0.8394929,2.5481343,0.2169842,0.8251287,0.32009703,0.8251287,0.3200971,0.8251287,0.32009697,0.35723698,0.15303625,0.35723698,0.15303625,0.35723698,0.15303627,0.9842488,0.2466834,0.3870857,0.3870857,0.058331165,0.3975118,0.50966626,0.4473936,1.0079567,-0.1952963,1.0079567,-0.1952964
0.18,0.9558982,0.8250998,0.3200863,0.7863342,0.5369799,0.0650192,1.6396077,0.8395819,2.5481899,0.21692075,0.8250998,0.3200863,0.8250998,0.3200863,0.8250998,0.3200863,0.35724214,0.15300049,0.35724214,0.15300047,0.35724214,0.15300044,0.9884736,0.2500996,0.3871094,0.38710937,0.11624144,0.41083232,0.4995171,0.48050746,1.0076746,-0.19535746,1.0076746,-0.19535744
0.19,0.9560019,0.8250734,0.32007602,0.78630143,0.5369033,0.065210424,1.6397345,0.8396671,2.5482442,0.21686263,0.8250734,0.32007602,0.8250734,0.32007602,0.8250734,0.32007605,0.35724592,0.1529701,0.35724592,0.15297005,0.35724592,0.15297005,0.9889121,0.25192374,0.38713253,0.38713247,0.16374055,0.42012802,0.4535933,0.5316029,1.007395,-0.19541387,1.007395,-0.19541383
0.2,0.95610124,0.8250493,0.3200665,0.7862715,0.53683066,0.065385275,1.639855,0.8397485,2.5482993,0.21680944,0.8250493,0.3200666,0.8250493,0.32006654,0.8250493,0.32006663,0.35724887,0.15294626,0.35724887,0.15294625,0.35724887,0.15294625,0.98420924,0.2524626,0.38715577,0.38715574,0.19564614,0.4252781,0.39143366,0.5854493,1.0071214,-0.19546486,1.0071214,-0.19546482
0.21,0.9561971,0.8250273,0.32005814,0.7862437,0.536762,0.0655444,1.6399698,0.8398258,2.5483546,0.21676077,0.8250273,0.32005817,0.8250272,0.3200581,0.8250273,0.32005823,0.3572514,0.15292946,0.3572514,0.15292943,0.3572514,0.15292946,0.97422236,0.252141,0.38717934,0.38717937,0.2184904,0.42390314,0.32985622,0.6315261,1.0068568,-0.1955105,1.0068569,-0.19551049
